rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N
EMEA Intern Recruiting,4/16/2023,,,,,IN_PROGRESS,1,1
GBO Recruiting,8/6/2023,,1,,,IN_PROGRESS,0,1
GBO Recruiting,7/30/2023,,3,,,IN_PROGRESS,1,1
YouTube Recruiting,4/2/2023,,,,,IN_PROGRESS,1,1
India SWE Recruiting,5/29/2022,11,,,,IN_PROGRESS,31,1
APAC Intern Recruiting,8/6/2023,,,2,2,IN_PROGRESS,2,32
India Cloud Recruiting,5/28/2023,,5,,,IN_PROGRESS,1,1
India SWE Recruiting,6/25/2023,7,,,,IN_PROGRESS,0,1
India SWE Recruiting,4/3/2022,,7,68,69,IN_PROGRESS,69,1
RSR EMEA SWE S09 Recruiting,1/22/2023,,,,,IN_PROGRESS,0,1
EMEA Cloud Tech Recruiting,5/28/2023,5,,,,IN_PROGRESS,6,1
India SWE Recruiting,7/16/2023,,,,,IN_PROGRESS,3,1
EMEA Cloud Tech Recruiting,7/23/2023,,4,,,IN_PROGRESS,1,1
India Cloud Recruiting,8/13/2023,,1,,,IN_PROGRESS,0,1
India SWE Recruiting,8/6/2023,,,2,2,IN_PROGRESS,2,2
Cloud Americas Recruiting,5/28/2023,,2,,,IN_PROGRESS,9,1
Cloud Americas Recruiting,8/13/2023,,1,,,IN_PROGRESS,1,1
India SWE Recruiting,6/11/2023,,,,,IN_PROGRESS,1,2
India SWE Recruiting,7/10/2022,5,6,,,IN_PROGRESS,25,1
India SWE Recruiting,7/24/2022,6,11,54,55,IN_PROGRESS,55,1
India SWE Recruiting,7/16/2023,,,,,IN_PROGRESS,1,4
India SWE Recruiting,6/18/2023,,6,9,9,IN_PROGRESS,9,1
GBO Recruiting,7/23/2023,,,,,IN_PROGRESS,0,1
India SWE Recruiting,5/21/2023,6,,,,IN_PROGRESS,1,1
Cloud Americas Recruiting,7/9/2023,,2,5,5,IN_PROGRESS,5,1
India SWE Recruiting,4/23/2023,,,,,IN_PROGRESS,12,1
GBO Recruiting,7/16/2023,,,,,IN_PROGRESS,0,1
Cloud Americas Recruiting,3/19/2023,,2,8,8,IN_PROGRESS,8,1
India SWE Recruiting,7/23/2023,5,,,,IN_PROGRESS,0,1
India Cloud Recruiting,8/6/2023,,3,,,IN_PROGRESS,1,1
EMEA Cloud Tech Recruiting,8/6/2023,,,1,1,IN_PROGRESS,1,1
GBO Recruiting,5/28/2023,,,,,IN_PROGRESS,3,1
EMEA Intern Recruiting,1/15/2023,16,,21,21,IN_PROGRESS,21,1
GBO Recruiting,10/2/2022,,1,,,IN_PROGRESS,0,1
India SWE Recruiting,6/19/2022,,1,,,IN_PROGRESS,16,1
RSR EMEA SWE S09 Recruiting,6/25/2023,3,8,,,IN_PROGRESS,6,1
India SWE Recruiting,12/18/2022,7,37,,,IN_PROGRESS,21,1
GBO Recruiting,7/16/2023,2,3,4,4,IN_PROGRESS,4,2
GBO Recruiting,3/26/2023,,,,,IN_PROGRESS,0,1
GBO Recruiting,7/9/2023,,,,,IN_PROGRESS,1,1
Cloud Americas Recruiting,7/30/2023,,,,,IN_PROGRESS,1,2
India Cloud Recruiting,8/6/2023,,,2,2,IN_PROGRESS,2,1
India SWE Recruiting,5/15/2022,,5,60,60,IN_PROGRESS,60,1
India SWE Recruiting,7/24/2022,6,13,,,IN_PROGRESS,42,1
