,rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N,n_weeks,candidate_pid
273,India SWE Recruiting,2023-07-09,6.0,,,,IN_PROGRESS,1,2,[0 1],4fe3936a93fd1f09
274,India SWE Recruiting,2023-07-09,6.0,,,,IN_PROGRESS,1,2,[0 1],878ed197d5f674f3
280,India SWE Recruiting,2023-06-18,,,5.0,5.0,IN_PROGRESS,5,2,[0 1 2 3 4 5],f8ca83dfc22e113a
281,India SWE Recruiting,2023-06-18,,,5.0,5.0,IN_PROGRESS,5,2,[0 1 2 3 4 5],41989c933d5bf564
283,India SWE Recruiting,2022-07-03,5.0,,,,IN_PROGRESS,53,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]",9c02cada9c4ed715
296,India SWE Recruiting,2022-07-03,4.0,6.0,,,IN_PROGRESS,32,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]",e5f9a46c8941344a
304,India SWE Recruiting,2022-05-15,9.0,10.0,,,IN_PROGRESS,39,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39]",48dedc03a51d0eb7
309,India SWE Recruiting,2022-05-29,11.0,,,,IN_PROGRESS,31,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31]",658add6d1fdf736f
343,India SWE Recruiting,2023-06-25,7.0,,,,IN_PROGRESS,0,1,[0],20770651cfa8f4d9
344,India SWE Recruiting,2022-04-03,,7.0,68.0,69.0,IN_PROGRESS,69,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69]",920ac65e8391bcb2
347,India SWE Recruiting,2023-07-16,,,,,IN_PROGRESS,3,1,[0 1 2 3],2623360861878cd4
